rank,player,team,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,source_url,retrieved_date
1,Kylian Mbappe,FRA,FW,4,23,41,24,27,14,0,6.54,1.53x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Lionel Messi,ARG,FW,4,19,35,23,16,19,0,6.18,1.29x,38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
3,Lamine Yamal,ESP,FW,0,12,27,4,13,14,0,2.44,0.41x,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Mikel Oyarzabal,ESP,FW,1,12,23,22,16,7,5,4.33,1.14x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Harry Kane,ENG,FW,1,11,23,26,18,5,5,3.69,1.63x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Kevin De Bruyne,BEL,MF,0,5,20,5,9,11,0,1.39,0.72x,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Michael Olise,FRA,FW,7,5,20,0,10,10,0,2.34,0x,25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Ousmane Dembele,FRA,FW,2,10,20,30,13,7,1,2.1,2.86x,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Jude Bellingham,ENG,MF,1,13,19,37,16,3,4,3.92,1.79x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Erling Haaland,NOR,FW,0,12,19,37,18,1,7,4.62,1.51x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Luis Diaz,COL,FW,1,7,19,5,15,4,0,1.47,0.68x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Raul Jimenez,MEX,FW,0,7,18,17,13,5,7,3,1x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Cristiano Ronaldo,POR,FW,0,9,18,17,15,3,0,2.94,1.02x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Jonathan David,CAN,FW,0,9,18,17,13,5,0,2.71,1.11x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Ismaila Sarr,SEN,FW,1,6,17,24,15,2,2,3.68,1.09x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Leandro Trossard,BEL,FW,2,4,17,12,10,7,0,1.67,1.2x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Vinicius Junior,BRA,FW,1,11,17,24,14,3,1,3.24,1.23x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
18,Dan Ndoye,SUI,FW,0,8,16,13,15,1,1,0.86,2.31x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Ferran Torres,ESP,FW,1,4,14,7,13,1,5,2.72,0.37x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Kenan Yildiz,TUR,FW,0,1,14,0,11,3,0,0.38,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Folarin Balogun,USA,FW,0,5,14,21,14,0,2,2.02,1.49x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Gustavo Puerta,COL,DF,1,5,14,0,3,11,0,0.53,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Julian Quinones,MEX,FW,1,6,14,29,8,6,2,2.27,1.76x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Achraf Hakimi,MAR,DF,2,4,14,7,6,8,0,0.96,1.04x,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Alexis Mac Allister,ARG,MF,1,4,13,8,10,3,9,1.92,0.52x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Dani Olmo,ESP,FW,2,2,13,0,7,6,2,1.16,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Desire Doue,FRA,FW,1,8,13,8,4,9,1,0.71,1.41x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Bukayo Saka,ENG,FW,3,7,13,23,11,2,1,1.72,1.74x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Marcus Rashford,ENG,FW,1,5,12,8,9,3,2,1.03,0.97x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Kai Havertz,GER,FW,0,7,12,25,11,1,7,2,1.5x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Arda Guler,TUR,FW,0,4,12,8,3,9,0,0.75,1.34x,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Viktor Gyokeres,SWE,FW,2,6,12,8,9,3,0,1.39,0.72x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Alex Baena,ESP,MF,1,5,12,8,4,8,0,0.5,2x,28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Enzo Fernandez,ARG,MF,0,4,12,17,4,8,2,0.9,2.22x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Julian Alvarez,ARG,FW,0,5,11,9,7,4,0,1.39,0.72x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Hakan Calhanoglu,TUR,MF,0,2,11,0,2,9,0,0.4,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Omar Marmoush,EGY,FW,0,1,11,0,8,3,0,0.91,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Youri Tielemans,BEL,MF,0,3,11,18,7,4,2,1.5,1.33x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Ibrahim Maza,ALG,MF,0,3,11,0,7,4,1,1.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Yoane Wissa,COD,FW,0,3,11,27,7,4,2,1.79,1.68x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Ismael Saibari,MAR,MF,0,3,10,30,7,3,1,1.01,2.97x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Emam Ashour,EGY,MF,0,2,10,20,5,5,1,1.06,1.89x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Lautaro Martinez,ARG,FW,1,4,10,30,9,1,2,2.17,1.38x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Federico Valverde,URU,MF,0,2,10,0,3,7,0,0.5,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
