rank,player,team,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,source_url,retrieved_date
1,Mohamed Hany,EGY,DF,2,10,90,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Yassine Bounou,MAR,GK,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Ellyes Skhiri,TUN,MF,1,10,40,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Damian Bobadilla,PAR,MF,1,5,95,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Mahmoud Abunada,QAT,GK,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Hassan Altambakti,KSA,DF,1,5,26,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Mohamed Manai,QAT,FW,1,2,52,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Yazan Alarab,JOR,DF,1,10,28,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Aymen Hussein,IRQ,FW,1,5,60,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Diney Borges,CPV,DF,1,5,29,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Miro Muheim,SUI,DF,1,3,16,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Abduvohid Nematov,UZB,GK,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Cameron Burgess,AUS,DF,1,2,14,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lucas Bergvall,SWE,MF,0,10,60,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Anthony Elanga,SWE,FW,0,10,31,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Viktor Johansson,SWE,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ross Stewart,SCO,FW,0,0,5,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nishan Velupillay,AUS,FW,0,1,57,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Paul Okon Engstler,AUS,MF,0,9,78,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lewis Ferguson,SCO,MF,0,15,87,28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Khojiakbar Alijonov,UZB,DF,0,4,76,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nestory Irankunda,AUS,FW,0,13,116,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Mohamed Toure,AUS,FW,0,3,86,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Sherzod Nasrullaev,UZB,DF,0,5,42,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jesper Karlstrom,SWE,MF,0,7,38,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Gabriel Gudmundsson,SWE,DF,0,13,58,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lucas Herrington,AUS,DF,0,4,11,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Cristian Volpato,AUS,FW,0,11,64,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Carl Starfelt,SWE,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Gustaf Lagerbielke,SWE,DF,0,8,50,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alessandro Circati,AUS,DF,0,12,48,28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nikola Vasilj,BIH,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Tete Yengi,AUS,FW,0,1,17,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Oston Urunov,UZB,MF,0,4,41,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Connor Metcalfe,AUS,MF,0,28,180,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Michael Boxall,NZL,DF,0,4,21,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Abdulla Abdullaev,UZB,DF,0,7,22,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Isak Hien,SWE,DF,0,13,13,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Mattias Svanberg,SWE,MF,0,0,5,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Scott Mckenna,SCO,DF,0,3,3,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jacob Italiano,AUS,DF,0,6,83,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Kosta Barbarouses,NZL,FW,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Harry Souttar,AUS,DF,0,4,18,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Hjalmar Ekdal,SWE,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Chris Wood,NZL,FW,0,8,88,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lawrence Shankland,SCO,FW,0,4,61,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Behruzjon Karimov,UZB,DF,0,5,55,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alexander Isak,SWE,FW,0,5,110,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Umar Eshmurodov,UZB,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Dan Ndoye,SUI,FW,0,32,141,20,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Aiden Oneill,AUS,MF,0,25,105,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Cameron Devlin,AUS,MF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Viktor Gyokeres,SWE,FW,0,14,75,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Tim Payne,NZL,DF,0,5,57,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jordan Bos,AUS,DF,0,23,84,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ken Sema,SWE,MF,0,2,5,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jacob Widell Zetterstrom,SWE,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Azizjon Ganiev,UZB,MF,0,6,79,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ryan Thomas,NZL,MF,0,2,50,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Abbosbek Fayzullaev,UZB,MF,0,17,137,27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,John Souttar,SCO,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Awer Mabil,AUS,FW,0,1,20,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Victor Lindelof,SWE,DF,0,5,24,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lukas Hornicek,CZE,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Max Crocombe,NZL,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ajdin Hrustic,AUS,FW,0,5,40,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Yasin Ayari,SWE,MF,0,21,100,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alex Rufer,NZL,MF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Akmal Mozgovoy,UZB,MF,0,5,83,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Kenny Mclean,SCO,MF,0,4,31,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Abdukodir Khusanov,UZB,DF,0,11,23,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Kristoffer Nordfeldt,SWE,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Joe Bell,NZL,MF,0,27,98,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jackson Irvine,AUS,MF,0,7,80,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Callum Mccowatt,NZL,MF,0,9,55,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Aziz Behich,AUS,DF,0,9,55,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Victor Munoz,ESP,FW,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Liam Kelly,SCO,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Logan Rogerson,NZL,FW,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Mathew Ryan,AUS,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jakhongir Urozov,UZB,DF,0,2,9,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Gustaf Nilsson,SWE,FW,0,0,3,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jason Geria,AUS,DF,0,1,21,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Sarpreet Singh,NZL,MF,0,10,104,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Marc Pubill,ESP,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Michael Woud,NZL,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Milos Degenek,AUS,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Daniel Svensson,SWE,DF,0,8,24,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Dominic Hyam,SCO,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Azizbek Amonov,UZB,FW,0,1,4,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Paul Izzo,AUS,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Elijah Just,NZL,MF,0,19,152,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Sherzod Esanov,UZB,MF,0,0,2,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Joan Garcia,ESP,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Eric Smith,SWE,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Mathew Leckie,AUS,FW,0,2,30,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Liberato Cacace,NZL,DF,0,9,59,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Aaron Hickey,SCO,DF,0,1,16,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Deniz Gul,TUR,FW,0,0,5,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lamine Yamal,ESP,FW,0,22,147,27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alexander Bernhardsson,SWE,DF,0,14,81,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Jesse Randall,NZL,FW,0,3,15,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Oguz Aydin,TUR,FW,0,3,24,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Eldor Shomurodov,UZB,FW,0,28,96,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Can Uzun,TUR,FW,0,4,9,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Callan Elliot,NZL,DF,0,0,4,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Pau Cubarsi,ESP,DF,0,14,33,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Benjamin Nygren,SWE,MF,0,4,71,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ferran Torres,ESP,FW,0,8,94,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nando Pijnaker,NZL,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Avazbek Ulmasaliyev,UZB,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Baris Alper Yilmaz,TUR,FW,0,24,37,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ben Gannon Doak,SCO,FW,0,13,71,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Scott Mctominay,SCO,MF,0,11,103,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ferdi Kadioglu,TUR,DF,0,0,16,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ben Waine,NZL,FW,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Botirali Ergashev,UZB,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Gavi,ESP,MF,0,4,33,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Besfort Zeneli,SWE,MF,0,3,35,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alex Paulsen,NZL,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Kenan Yildiz,TUR,FW,0,7,32,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Taha Ali,SWE,FW,0,4,15,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Borja Iglesias,ESP,FW,0,0,4,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ismail Yuksek,TUR,MF,0,16,34,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ben Old,NZL,MF,0,2,28,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Edin Dzeko,BIH,FW,0,4,69,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Arda Guler,TUR,FW,0,12,62,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Marko Stamenic,NZL,MF,0,10,67,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,George Hirst,SCO,FW,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Farrukh Sayfiev,UZB,DF,0,1,5,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Alex Baena,ESP,MF,0,24,152,25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Herman Johansson,SWE,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Abdulkerim Bardakci,TUR,DF,0,3,27,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Francis De Vries,NZL,DF,0,1,5,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ivan Sunjic,BIH,MF,0,20,78,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nathan Patterson,SCO,DF,0,7,37,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
