rank,player,team,position,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,source_url,retrieved_date
1,Rodri,ESP,MF,799,747,93,3,0,2,21,90,11,91,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
2,Pau Cubarsi,ESP,DF,690,668,97,1,0,0,7,71,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
3,Aymeric Laporte,ESP,DF,660,618,94,0,0,0,12,58,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
4,Leandro Paredes,ARG,MF,565,532,94,2,50,3,8,38,7,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
5,Marc Guehi,ENG,DF,532,514,97,0,0,2,10,70,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
6,Enzo Fernandez,ARG,MF,519,480,92,5,40,5,21,71,8,88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
7,Ezri Konsa,ENG,DF,488,469,96,3,0,1,3,100,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
8,Manuel Akanji,SUI,DF,479,444,93,0,0,0,8,88,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
9,Marc Cucurella,ESP,DF,474,433,91,15,20,1,13,54,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
10,Granit Xhaka,SUI,MF,470,427,91,4,0,2,15,47,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
11,Pedri,ESP,MF,469,420,90,14,36,2,16,75,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
12,Lisandro Martinez,ARG,DF,450,422,94,3,0,2,9,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
13,Achraf Hakimi,MAR,DF,449,402,90,38,32,11,7,86,6,83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
14,Elliot Anderson,ENG,MF,445,396,89,6,50,1,17,71,10,90,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
15,Dayot Upamecano,FRA,DF,443,409,92,0,0,2,6,67,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
16,Nico Elvedi,SUI,DF,438,406,93,0,0,3,2,50,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
17,Neil El Aynaoui,MAR,MF,433,405,94,0,0,1,3,0,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
18,Gabriel Magalhaes,BRA,DF,431,413,96,0,0,0,2,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
19,Alexis Mac Allister,ARG,MF,430,393,91,1,0,1,3,33,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
19,Cristian Romero,ARG,DF,430,415,97,0,0,3,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
21,Sander Berge,NOR,MF,425,412,97,2,0,1,4,75,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
22,Pedro Porro,ESP,DF,420,379,90,19,26,3,17,35,9,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
23,Michael Olise,FRA,FW,417,362,87,20,25,17,28,75,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
24,Vitinha,POR,MF,403,379,94,0,0,2,7,71,11,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
25,Brandon Mechele,BEL,DF,399,369,92,0,0,1,4,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
26,Ramy Bensebaini,ALG,DF,385,359,93,0,0,1,8,38,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
27,Aissa Mandi,ALG,DF,382,357,93,0,0,0,5,20,10,90,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
28,Marquinhos,BRA,DF,380,367,97,1,100,0,4,75,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
29,Jonathan Tah,GER,DF,375,364,97,1,0,1,3,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
30,Joshua Kimmich,GER,DF,368,336,91,25,20,1,9,56,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
31,Martin Odegaard,NOR,MF,367,322,88,16,19,3,18,56,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
31,Lionel Messi,ARG,FW,367,288,78,46,39,25,36,58,5,80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
33,Davinson Sanchez,COL,DF,361,324,90,0,0,1,10,20,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
34,Jan Paul Van Hecke,NED,DF,360,335,93,1,0,1,5,60,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
35,Marawan Attia,EGY,MF,357,313,88,8,38,0,15,47,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
36,Jules Kounde,FRA,DF,353,314,89,15,13,0,7,43,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
37,Adrien Rabiot,FRA,MF,351,323,92,2,0,2,13,77,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
38,Virgil Van Dijk,NED,DF,347,330,95,0,0,1,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
39,Declan Rice,ENG,MF,340,312,92,40,38,2,12,50,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
40,Renato Veiga,POR,DF,336,320,95,0,0,1,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
41,Rodrigo De Paul,ARG,MF,327,300,92,13,38,2,9,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
42,Issa Diop,MAR,DF,326,299,92,0,0,0,3,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
43,Remo Freuler,SUI,MF,324,299,92,5,20,0,7,71,2,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
44,Azzedine Ounahi,MAR,MF,315,281,89,6,33,8,17,65,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
44,William Saliba,FRA,DF,315,307,97,0,0,1,1,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
46,Unai Simon,ESP,GK,314,253,81,0,0,0,5,20,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
47,Torbjorn Heggem,NOR,DF,301,282,94,0,0,1,4,25,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
48,Tim Ream,USA,DF,298,281,94,0,0,2,6,33,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Pedro Vite,ECU,MF,297,269,91,7,43,1,9,56,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Ousmane Dembele,FRA,FW,297,236,79,36,17,9,29,62,6,83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Fabian Ruiz,ESP,MF,297,266,90,7,29,0,12,58,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
52,Ricardo Rodriguez,SUI,DF,295,243,82,17,18,1,24,33,4,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
52,Moises Caicedo,ECU,MF,295,264,89,16,44,0,13,54,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
54,Danilo,BRA,DF,294,262,89,7,29,1,6,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
