rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1,Kylian Mbappe,FRA,FW,10,4,769,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Lionel Messi,ARG,FW,8,4,853,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
3,Jude Bellingham,ENG,MF,7,1,698,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Erling Haaland,NOR,FW,7,0,537,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
5,Ousmane Dembele,FRA,FW,6,2,648,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Harry Kane,ENG,FW,6,1,732,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
7,Mikel Oyarzabal,ESP,FW,5,1,664,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
8,Ismaila Sarr,SEN,FW,4,1,419,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Julian Quinones,MEX,FW,4,1,440,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
10,Vinicius Junior,BRA,FW,4,1,505,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
11,Bukayo Saka,ENG,FW,3,3,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Deniz Undav,GER,FW,3,2,174,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
13,Johan Manzambi,SUI,MF,3,2,220,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Romelu Lukaku,BEL,FW,3,1,279,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Lautaro Martinez,ARG,FW,3,1,368,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
16,Charles De Ketelaere,BEL,FW,3,1,385,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
17,Cody Gakpo,NED,FW,3,1,394,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
18,Bradley Barcola,FRA,FW,3,1,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Brian Brobbey,NED,FW,3,0,245,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
20,Elijah Just,NZL,MF,3,0,291,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
21,Matheus Cunha,BRA,FW,3,0,324,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
22,Folarin Balogun,USA,FW,3,0,348,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
23,Raul Jimenez,MEX,FW,3,0,348,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
24,Kai Havertz,GER,FW,3,0,392,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Yoane Wissa,COD,FW,3,0,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
26,Ismael Saibari,MAR,MF,3,0,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
27,Jonathan David,CAN,FW,3,0,475,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
28,Cristiano Ronaldo,POR,FW,3,0,490,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Crysencio Summerville,NED,FW,2,2,282,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
30,Breel Embolo,SUI,FW,2,2,531,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
31,Leandro Trossard,BEL,FW,2,2,561,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
32,Soufiane Rahimi,MAR,FW,2,1,215,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
33,Nicolas Pepe,CIV,FW,2,1,255,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
34,Pape Gueye,SEN,MF,2,1,257,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Maxi Araujo,URU,MF,2,1,278,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
36,Riyad Mahrez,ALG,FW,2,1,288,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
37,Ramin Rezaeian,IRN,DF,2,1,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
38,Ruben Vargas,SUI,FW,2,1,314,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
39,Ayase Ueda,JPN,FW,2,1,349,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
40,Mostafa Zico,EGY,MF,2,1,398,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Malik Tillman,USA,MF,2,1,415,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
42,Ermin Mahmic,BIH,MF,2,0,88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
43,Habib Diarra,SEN,MF,2,0,168,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
44,Marko Arnautovic,AUT,FW,2,0,173,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
45,Amad Diallo,CIV,FW,2,0,211,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
46,Cyle Larin,CAN,FW,2,0,224,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
47,Anthony Elanga,SWE,FW,2,0,247,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
48,Mikel Merino,ESP,MF,2,0,262,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
49,Daichi Kamada,JPN,MF,2,0,359,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
50,Yasin Ayari,SWE,MF,2,0,371,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
51,Emam Ashour,EGY,MF,2,0,395,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Dan Ndoye,SUI,FW,2,0,437,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
53,Daniel Munoz,COL,DF,2,0,451,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
54,Azzedine Ounahi,MAR,MF,2,0,477,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
55,Youri Tielemans,BEL,MF,2,0,538,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
56,Pedro Porro,ESP,DF,2,0,640,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
57,Enzo Fernandez,ARG,MF,2,0,755,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
58,Andreas Schjelderup,NOR,MF,1,3,297,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
59,Alexander Isak,SWE,FW,1,3,389,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
60,Anthony Gordon,ENG,FW,1,3,442,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
