rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1302,Emiliano Martinez,ARG,GK,0,0,934,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1300,Pau Cubarsi,ESP,DF,0,0,857,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1300,Unai Simon,ESP,GK,0,0,857,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1299,Rodri,ESP,MF,0,0,819,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1298,Mike Maignan,FRA,GK,0,0,810,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1297,Marc Guehi,ENG,DF,0,0,761,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1296,Jordan Pickford,ENG,GK,0,0,756,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1293,Manuel Akanji,SUI,DF,0,0,673,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1293,Gregor Kobel,SUI,GK,0,0,673,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1295,Nico Elvedi,SUI,DF,0,0,673,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1292,Jules Kounde,FRA,DF,0,0,666,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1291,Remo Freuler,SUI,MF,0,0,654,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1290,Brandon Mechele,BEL,DF,0,0,651,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1289,Yassine Bounou,MAR,GK,0,0,650,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1288,Neil El Aynaoui,MAR,MF,0,0,634,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1287,Thibaut Courtois,BEL,GK,0,0,625,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1286,Nahuel Molina,ARG,DF,0,0,592,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1285,Pedri,ESP,MF,0,0,565,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1284,Leandro Paredes,ARG,MF,0,0,557,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1278,Andres Cubas,PAR,MF,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1278,Orlando Gill,PAR,GK,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1278,Gustavo Gomez,PAR,DF,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1281,Kristoffer Ajer,NOR,DF,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1281,Sander Berge,NOR,MF,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1281,Orjan Nyland,NOR,GK,0,0,554,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1277,Mostafa Shoubir,EGY,GK,0,0,546,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1276,Nicolas Tagliafico,ARG,DF,0,0,543,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1275,Noussair Mazraoui,MAR,DF,0,0,542,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1273,Camilo Vargas,COL,GK,0,0,541,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1274,Davinson Sanchez,COL,DF,0,0,541,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1272,Jhon Lucumi,COL,DF,0,0,538,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1271,William Saliba,FRA,DF,0,0,533,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
