rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
1,Kylian Mbappe,FRA,FW,37.61,529,250,66726.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Anthony Elanga,SWE,FW,37.16,211,118,24265.7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
3,Micky Van De Ven,NED,DF,36.77,245,92,27342.03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Jordan Bos,AUS,DF,36.67,396,223,36920.34,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
5,Erling Haaland,NOR,FW,36.52,375,172,49468.92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Abdukodir Khusanov,UZB,DF,36.46,218,93,27912.88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
7,Bradley Barcola,FRA,FW,36.32,340,165,42770.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
8,Djed Spence,ENG,DF,36.22,417,214,45630.64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Theo Hernandez,FRA,DF,36.17,288,134,29720.25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
10,Nelson Semedo,POR,DF,35.9,196,79,16630.4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
11,Anthony Gordon,ENG,FW,35.79,474,232,43686.72,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Mohamed Toure,AUS,FW,35.77,217,79,19508.03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
13,Ryan Gravenberch,NED,MF,35.61,443,129,37432.87,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Folarin Balogun,USA,FW,35.6,329,183,34951.64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Marcus Holmgren Pedersen,NOR,DF,35.59,322,137,29767.17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
16,Alan Minda,ECU,MF,35.52,80,31,6170.77,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
17,Sondre Langas,NOR,DF,35.51,26,11,2880.7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
18,Achraf Hakimi,MAR,DF,35.48,624,296,63750.68,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Dayot Upamecano,FRA,DF,35.39,598,228,73611.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
20,Pedro Neto,POR,FW,35.33,368,208,37581.23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
21,Chemsdine Talbi,MAR,MF,35.33,280,128,23817.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
22,Richie Laryea,CAN,DF,35.23,464,231,46053.79,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
23,Giuliano Simeone,ARG,FW,35.2,296,114,23625.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
24,Omar Marmoush,EGY,FW,35.17,321,165,35476.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Marcus Rashford,ENG,FW,35.17,285,147,28790.24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
26,Son Heungmin,KOR,FW,35.17,169,96,18757.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
