player,team,position
Viktor Johansson,SWE,GK
Kosta Barbarouses,NZL,FW
Hjalmar Ekdal,SWE,DF
Umar Eshmurodov,UZB,DF
Cameron Devlin,AUS,MF
John Souttar,SCO,DF
Lukas Hornicek,CZE,GK
Alex Rufer,NZL,MF
Victor Munoz,ESP,FW
Liam Kelly,SCO,GK
Logan Rogerson,NZL,FW
Michael Woud,NZL,GK
Milos Degenek,AUS,DF
Dominic Hyam,SCO,DF
Paul Izzo,AUS,GK
Joan Garcia,ESP,GK
Eric Smith,SWE,DF
Nando Pijnaker,NZL,DF
Avazbek Ulmasaliyev,UZB,DF
Ben Waine,NZL,FW
Botirali Ergashev,UZB,GK
Alex Paulsen,NZL,GK
George Hirst,SCO,FW
Herman Johansson,SWE,DF
Samet Akaydin,TUR,DF
Lachlan Bayliss,NZL,MF
David Raya,ESP,GK
Altay Bayindir,TUR,GK
Tyler Fletcher,SCO,MF
Jindrich Stanek,CZE,GK
Jan Kuchta,CZE,FW
Yvon Mvogo,SUI,GK
Mert Gunok,TUR,GK
Nihad Mujakic,BIH,DF
David Jurasek,CZE,DF
Aurele Amenda,SUI,DF
Marvin Keller,SUI,GK
Alex Grimaldo,ESP,DF
Hugo Sochurek,CZE,MF
Jeremy Arevalo,ECU,FW
Willer Ditta,COL,DF
Anthony Valencia,ECU,MF
Chris Brady,USA,GK
Leo Pereira,BRA,DF
Gatito Fernandez,PAR,GK
Gonzalo Valle,ECU,GK
Juan Portilla,COL,MF
Luis Mejia,PAN,GK
Rodrigo Zalazar,URU,MF
Adalberto Carrasquilla,PAN,MF
Geronimo Rulli,ARG,GK
Ronald Araujo,URU,DF
Bremer,BRA,DF
Joaquin Piquerez,URU,MF
Jorge Carrascal,COL,MF
Facundo Pellistri,URU,FW
