rank,player,team,position,goals,assists_x,minutes_played,source_url,retrieved_date,assists_y,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,top_speed_kmh,high_speed_running,sprints,total_distance_metres,reached_knockout,attempts_at_goal_per90,forced_turnovers_per90,total_distance_km_per90,direct_pressure_share_pct
1173,Fabian Rieder,SUI,MF,0,0,332,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,2.0,7.0,0.0,4.0,3.0,0.0,1.09,0x,8.0,87.0,71.0,82.0,16.0,0.0,2.0,10.0,40.0,2.0,100.0,0.0,19.0,210.0,30.0,32.82,566.0,179.0,38929.3,True,1.897590361445783,5.150602409638554,10.553123493975905,14.285714285714286
134,Agustin Canobbio,URU,MF,1,0,261,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,4.0,25.0,4.0,0.0,1.0,0.75,1.33x,0.0,,,,,,,,,,,0.0,16.0,107.0,16.0,33.4,348.0,162.0,28186.33,False,1.379310344827586,5.517241379310344,9.719424137931036,14.953271028037385
165,Marcel Sabitzer,AUT,MF,1,0,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,5.0,20.0,1.0,4.0,0.0,0.46,2.19x,9.0,126.0,94.0,75.0,30.0,33.0,3.0,16.0,69.0,1.0,100.0,,,,,33.62,488.0,233.0,41363.96,True,1.0922330097087378,,9.035816504854369,
1015,Ngalayel Mukau,COD,MF,0,0,220,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,34.35,383.0,105.0,26619.43,True,,,10.88976681818182,
1107,Lee Gihyuk,KOR,MF,0,0,300,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,,,,,,,,,,,236.0,217.0,92.0,4.0,0.0,1.0,3.0,0.0,4.0,100.0,,,,,32.76,388.0,125.0,30898.48,False,,,9.269544,
126,Nikola Vlasic,CRO,MF,1,0,204,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,3.0,33.0,2.0,1.0,1.0,0.2,5.07x,0.0,,,,,,,,,,,,,,,32.61,263.0,96.0,22011.41,True,1.3235294117647058,,9.710916176470588,
89,Alex Baena,ESP,MF,1,1,522,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,5.0,12.0,8.0,4.0,8.0,0.0,0.5,2x,28.0,218.0,178.0,82.0,44.0,18.0,5.0,18.0,67.0,2.0,100.0,0.0,24.0,152.0,25.0,34.04,626.0,264.0,55400.88,True,2.0689655172413794,4.137931034482759,9.551875862068965,16.44736842105263
141,Romano Schmid,AUT,MF,1,0,283,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.12,8.48x,0.0,91.0,65.0,71.0,4.0,50.0,1.0,5.0,40.0,1.0,100.0,,,,,34.01,439.0,161.0,31408.46,True,0.6360424028268551,,9.988556183745583,
158,Leroy Sane,GER,MF,1,0,360,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,6.0,17.0,5.0,1.0,0.0,1.57,0.64x,1.0,189.0,161.0,85.0,11.0,18.0,7.0,9.0,44.0,0.0,0.0,,,,,34.42,477.0,221.0,38060.03,True,1.5,,9.5150075,
224,Chemsdine Talbi,MAR,MF,0,1,217,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05,0x,0.0,,,,,,,,,,,,,,,35.33,280.0,128.0,23817.14,True,0.8294930875576036,,9.878076497695853,
1130,Miguel Almiron,PAR,MF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.11,0x,2.0,,,,,,,,,,,0.0,17.0,123.0,21.0,33.26,357.0,129.0,33177.48,True,1.1764705882352942,5.0,9.758082352941177,17.073170731707318
1259,Bilal El Khannouss,MAR,MF,0,0,501,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,4.0,6.0,0.0,2.0,4.0,1.0,0.28,0x,2.0,238.0,186.0,78.0,14.0,14.0,6.0,23.0,65.0,2.0,100.0,,,,,34.62,554.0,226.0,50933.34,True,1.0778443113772456,,9.149701796407186,
1172,Diego Gomez,PAR,MF,0,0,332,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.25,0x,1.0,101.0,80.0,79.0,2.0,0.0,2.0,4.0,25.0,2.0,100.0,,,,,32.65,492.0,179.0,37311.9,True,1.6265060240963856,,10.114671686746988,
1198,Denis Zakaria,SUI,MF,0,0,392,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,2.0,5.0,0.0,5.0,0.0,1.0,0.61,0x,0.0,185.0,160.0,86.0,14.0,14.0,3.0,10.0,70.0,0.0,0.0,0.0,19.0,63.0,23.0,33.31,393.0,168.0,39537.36,True,1.1479591836734695,4.362244897959184,9.077455102040815,36.507936507936506
