rank,player,team,position,goals,assists_x,minutes_played,source_url,retrieved_date,assists_y,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,top_speed_kmh,high_speed_running,sprints,total_distance_metres,reached_knockout,attempts_at_goal_per90,forced_turnovers_per90,total_distance_km_per90,direct_pressure_share_pct
125,Michal Sadilek,CZE,MF,1,0,204,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,3.0,7.0,14.0,5.0,2.0,1.0,0.7,1.42x,5.0,84.0,69.0,82.0,11.0,18.0,0.0,4.0,50.0,2.0,100.0,0.0,10.0,75.0,4.0,,,,,False,3.088235294117647,4.411764705882353,,5.333333333333333
1044,Jose Luis Rodriguez,PAN,MF,0,0,251,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.24,0x,3.0,,,,,,,,,,,0.0,20.0,88.0,12.0,,,,,False,1.0756972111553784,7.171314741035856,,13.636363636363637
1017,Ivan Sunjic,BIH,MF,0,0,221,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0x,0.0,102.0,88.0,86.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,20.0,78.0,21.0,,,,,True,0.4072398190045249,8.144796380090497,,26.923076923076923
1028,Gilberto Mora,MEX,MF,0,0,236,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.13,0x,2.0,87.0,79.0,91.0,5.0,20.0,2.0,5.0,80.0,1.0,100.0,0.0,15.0,96.0,9.0,,,,,True,1.906779661016949,5.720338983050847,,9.375
222,Paul Okon Engstler,AUS,MF,0,1,214,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,89.0,77.0,87.0,1.0,100.0,1.0,6.0,83.0,2.0,100.0,0.0,9.0,78.0,5.0,,,,,True,,3.785046728971962,,6.410256410256411
212,Alexandr Sojka,CZE,MF,0,1,155,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,,,,,,,,,,,0.0,18.0,84.0,9.0,,,,,False,,10.451612903225806,,10.714285714285714
110,Alvaro Fidalgo,MEX,MF,1,0,117,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,3.0,33.0,2.0,1.0,0.0,0.35,2.85x,0.0,,,,,,,,,,,0.0,6.0,35.0,4.0,,,,,True,2.3076923076923075,4.615384615384615,,11.428571428571429
1069,Otabek Shukurov,UZB,MF,0,0,268,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.08,0x,0.0,117.0,103.0,88.0,1.0,0.0,2.0,3.0,33.0,3.0,100.0,0.0,5.0,96.0,12.0,,,,,False,0.6716417910447761,1.67910447761194,,12.5
1012,Damian Bobadilla,PAR,MF,0,0,216,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,,,,,,,,,,,1.0,5.0,95.0,22.0,,,,,True,,2.083333333333333,,23.157894736842106
1122,Marko Stamenic,NZL,MF,0,0,302,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.09,0x,0.0,171.0,156.0,91.0,2.0,50.0,2.0,9.0,44.0,1.0,100.0,0.0,10.0,67.0,18.0,,,,,False,0.8940397350993378,2.980132450331126,,26.865671641791046
156,Connor Metcalfe,AUS,MF,1,0,354,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,5.0,20.0,1.0,4.0,0.0,0.11,9.21x,3.0,,,,,,,,,,,0.0,28.0,180.0,11.0,,,,,True,1.271186440677966,7.118644067796611,,6.111111111111111
220,Lucas Bergvall,SWE,MF,0,1,207,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.68,0x,0.0,88.0,80.0,91.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,10.0,60.0,13.0,32.58,283.0,89.0,23862.93,True,0.8695652173913043,4.3478260869565215,10.375186956521738,21.666666666666668
1216,Moises Caicedo,ECU,MF,0,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,4.0,0.0,1.0,3.0,1.0,0.19,0x,8.0,295.0,264.0,89.0,16.0,44.0,0.0,13.0,54.0,3.0,100.0,0.0,16.0,83.0,28.0,34.49,505.0,134.0,42353.4,True,0.8845208845208845,3.538083538083538,9.365616707616708,33.734939759036145
174,Granit Xhaka,SUI,MF,1,0,673,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,9.0,11.0,1.0,8.0,0.0,1.16,0.86x,0.0,470.0,427.0,91.0,4.0,0.0,2.0,15.0,47.0,8.0,100.0,0.0,28.0,116.0,18.0,,,,,True,1.2035661218424962,3.7444279346211,,15.517241379310345
1082,Djibril Sow,SUI,MF,0,0,276,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.23,0x,0.0,97.0,83.0,86.0,4.0,25.0,0.0,7.0,57.0,1.0,100.0,0.0,8.0,54.0,5.0,,,,,True,0.6521739130434783,2.608695652173913,,9.25925925925926
913,Ismail Yuksek,TUR,MF,0,0,153,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,0.0,5.0,0.0,3.0,2.0,1.0,0.32,0x,0.0,111.0,104.0,94.0,1.0,0.0,3.0,2.0,50.0,2.0,100.0,0.0,16.0,34.0,13.0,,,,,False,2.9411764705882355,9.411764705882351,,38.23529411764706
849,Ben Old,NZL,MF,0,0,112,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,,,,,,,,,,,0.0,2.0,28.0,4.0,,,,,False,,1.607142857142857,,14.285714285714286
